Loss: 3.1935818195343018, Precision: 0.7599999904632568, Recall: 1.0, AUC: 0.950138509273529, Accuracy: 0.8421052694320679
Loss: 0.5247629284858704, Precision: 0.800000011920929, Recall: 0.800000011920929, AUC: 0.8937499523162842, Accuracy: 0.8064516186714172
Loss: 0.4719746708869934, Precision: 0.7777777910232544, Recall: 1.0, AUC: 0.9308035969734192, Accuracy: 0.8666666746139526
Loss: 0.13685807585716248, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.34669584035873413, Precision: 0.8125, Recall: 1.0, AUC: 0.959134578704834, Accuracy: 0.8965517282485962
Loss: 0.7183887362480164, Precision: 0.75, Recall: 0.8571428656578064, AUC: 0.8660714626312256, Accuracy: 0.8235294222831726
Loss: 0.257946640253067, Precision: 0.9090909361839294, Recall: 1.0, AUC: 0.9545454978942871, Accuracy: 0.9523809552192688
Loss: 0.3575398027896881, Precision: 0.8333333134651184, Recall: 1.0, AUC: 0.9545454382896423, Accuracy: 0.9047619104385376
Loss: 0.5676050782203674, Precision: 0.695652186870575, Recall: 0.9411764740943909, AUC: 0.8758169412612915, Accuracy: 0.7714285850524902
Loss: 0.13110730051994324, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.7054745554924011, Precision: 0.6666666865348816, Recall: 1.0, AUC: 1.0, Accuracy: 0.800000011920929
Loss: 0.8882501721382141, Precision: 0.7142857313156128, Recall: 1.0, AUC: 0.824999988079071, Accuracy: 0.7777777910232544
Loss: 1.4060653448104858, Precision: 0.3333333432674408, Recall: 1.0, AUC: 0.3333333134651184, Accuracy: 0.5
Loss: 0.5436452031135559, Precision: 0.6190476417541504, Recall: 1.0, AUC: 0.8341346383094788, Accuracy: 0.7241379022598267
Loss: 0.6139773726463318, Precision: 0.6842105388641357, Recall: 1.0, AUC: 0.8461538553237915, Accuracy: 0.7692307829856873
Loss: 0.5398675799369812, Precision: 0.7857142686843872, Recall: 0.8461538553237915, AUC: 0.8490384817123413, Accuracy: 0.782608687877655
Loss: 0.9907817840576172, Precision: 0.47058823704719543, Recall: 1.0, AUC: 0.7291666269302368, Accuracy: 0.6086956262588501
Loss: 0.32750365138053894, Precision: 1.0, Recall: 0.8999999761581421, AUC: 1.0, Accuracy: 0.9444444179534912
Loss: 0.4995328485965729, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.875, Accuracy: 0.8571428656578064
Loss: 0.4318975806236267, Precision: 0.7857142686843872, Recall: 1.0, AUC: 0.8636362552642822, Accuracy: 0.8846153616905212
Loss: 0.6191933751106262, Precision: 0.800000011920929, Recall: 1.0, AUC: 0.8333333730697632, Accuracy: 0.8571428656578064
Loss: 0.6895562410354614, Precision: 0.7272727489471436, Recall: 0.800000011920929, AUC: 0.8176470398902893, Accuracy: 0.8148148059844971
Loss: 0.44188550114631653, Precision: 0.7142857313156128, Recall: 1.0, AUC: 0.949999988079071, Accuracy: 0.8666666746139526
Loss: 0.4070817530155182, Precision: 0.875, Recall: 1.0, AUC: 0.8809523582458496, Accuracy: 0.8999999761581421
Loss: 0.5433657169342041, Precision: 0.7692307829856873, Recall: 0.9090909361839294, AUC: 0.93388432264328, Accuracy: 0.8181818127632141
Loss: 0.6556831002235413, Precision: 0.7333333492279053, Recall: 0.8461538553237915, AUC: 0.8136094808578491, Accuracy: 0.7692307829856873
Loss: 0.2901942729949951, Precision: 0.8333333134651184, Recall: 1.0, AUC: 0.9764705896377563, Accuracy: 0.9259259104728699
Loss: 0.5693851113319397, Precision: 0.695652186870575, Recall: 0.9411764740943909, AUC: 0.8156862854957581, Accuracy: 0.75
Loss: 0.18222911655902863, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.5954582095146179, Precision: 0.8888888955116272, Recall: 0.7272727489471436, AUC: 0.9151514768600464, Accuracy: 0.8461538553237915
Loss: 0.22562143206596375, Precision: 0.875, Recall: 1.0, AUC: 0.9571428298950195, Accuracy: 0.9411764740943909
Loss: 0.5886831283569336, Precision: 0.78125, Recall: 0.9259259104728699, AUC: 0.9027777314186096, Accuracy: 0.8085106611251831
Loss: 0.13077345490455627, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 1.5764750242233276, Precision: 0.4000000059604645, Recall: 1.0, AUC: 1.0, Accuracy: 0.4000000059604645
Loss: 0.3668171167373657, Precision: 0.9285714030265808, Recall: 0.8125, AUC: 0.98828125, Accuracy: 0.875
Loss: 0.19180762767791748, Precision: 0.0, Recall: 0.0, AUC: 0.0, Accuracy: 1.0
Loss: 0.36519262194633484, Precision: 0.8928571343421936, Recall: 0.9615384340286255, AUC: 0.879807710647583, Accuracy: 0.9130434989929199
Loss: 0.6804933547973633, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.875, Accuracy: 0.8333333134651184
Loss: 0.4429134428501129, Precision: 0.800000011920929, Recall: 0.800000011920929, AUC: 0.888235330581665, Accuracy: 0.8518518805503845
Loss: 0.38513410091400146, Precision: 0.8333333134651184, Recall: 1.0, AUC: 1.0, Accuracy: 0.9090909361839294
Loss: 0.2710605561733246, Precision: 0.8888888955116272, Recall: 1.0, AUC: 0.9663461446762085, Accuracy: 0.9523809552192688
Loss: 0.3826484680175781, Precision: 0.8333333134651184, Recall: 1.0, AUC: 0.8857142925262451, Accuracy: 0.9166666865348816
Loss: 0.7759595513343811, Precision: 0.5833333134651184, Recall: 0.875, AUC: 0.7847222089767456, Accuracy: 0.6470588445663452
Loss: 0.9342535138130188, Precision: 0.7142857313156128, Recall: 0.8333333134651184, AUC: 0.7499999403953552, Accuracy: 0.699999988079071
Loss: 0.4700104892253876, Precision: 0.7647058963775635, Recall: 0.9285714030265808, AUC: 0.8785713911056519, Accuracy: 0.8529411554336548
Loss: 0.277247816324234, Precision: 0.875, Recall: 1.0, AUC: 0.9589285850524902, Accuracy: 0.9411764740943909
Loss: 0.4448215365409851, Precision: 0.7666666507720947, Recall: 1.0, AUC: 0.8775743246078491, Accuracy: 0.8333333134651184
Loss: 1.585360050201416, Precision: 1.0, Recall: 0.4285714328289032, AUC: 0.976190447807312, Accuracy: 0.6000000238418579
Loss: 0.6391623616218567, Precision: 0.800000011920929, Recall: 0.800000011920929, AUC: 0.8857142925262451, Accuracy: 0.8333333134651184
Loss: 0.28587624430656433, Precision: 0.8666666746139526, Recall: 1.0, AUC: 0.9547511339187622, Accuracy: 0.9333333373069763
Loss: 0.9308317303657532, Precision: 0.800000011920929, Recall: 0.800000011920929, AUC: 0.7999999523162842, Accuracy: 0.75
Loss: 0.2667769193649292, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 1.4018386602401733, Precision: 0.5, Recall: 0.5, AUC: 0.5, Accuracy: 0.4285714328289032
